"","protein","condition","growthrate","mean_intensity","median_intensity","CV","CI","mean_massfraction","rel_intensity","psortB_localization","Process","Pathway","Protein","Protein.names","Length","MolWeight","Process.color","Process.abbr","Pathway.abbr","mean_mass_fraction_norm","model.category"
"10364","slr0417","CO2-0-5",0.0756,10433165.9016544,10045577.0568562,0.139135278,0.1363500669,0.0004273292,0.6504905215,"Cytoplasmic","DNA replication, restriction, modification, recombination, and repair","DNA replication, restriction, modification, recombination, and repair","DNA gyrase subunit A","DNA gyrase subunit A (EC 5.99.1.3)",860,95.09,6,"DNArep","DNA replication, r",0.0005180458,"MAI"
"10365","slr0417","CO2-1-0",0.1003,15620722.9189877,15443079.8381903,0.0969707383,0.0950295773,0.0005750257,1,"Cytoplasmic","DNA replication, restriction, modification, recombination, and repair","DNA replication, restriction, modification, recombination, and repair","DNA gyrase subunit A","DNA gyrase subunit A (EC 5.99.1.3)",860,95.09,6,"DNArep","DNA replication, r",0.0006657423,"MAI"
"10366","slr0417","Light-0060",0.0331,7986531.09585377,7370207.52182897,0.2939196242,0.2880359389,0.0005508872,0.5221497281,"Cytoplasmic","DNA replication, restriction, modification, recombination, and repair","DNA replication, restriction, modification, recombination, and repair","DNA gyrase subunit A","DNA gyrase subunit A (EC 5.99.1.3)",860,95.09,6,"DNArep","DNA replication, r",0.0004601706,"MAI"
"10367","slr0417","Light-0100",0.0485,6744864.71227499,7172272.97091406,0.4703778507,0.4609618232,0.0004626842,0.5081268568,"Cytoplasmic","DNA replication, restriction, modification, recombination, and repair","DNA replication, restriction, modification, recombination, and repair","DNA gyrase subunit A","DNA gyrase subunit A (EC 5.99.1.3)",860,95.09,6,"DNArep","DNA replication, r",0.0003719676,"MAI"
"10368","slr0417","Light-0200",0.0639,10879410.2264818,10915503.4398913,0.0923699863,0.0905209232,0.0007374658,0.7733197656,"Cytoplasmic","DNA replication, restriction, modification, recombination, and repair","DNA replication, restriction, modification, recombination, and repair","DNA gyrase subunit A","DNA gyrase subunit A (EC 5.99.1.3)",860,95.09,6,"DNArep","DNA replication, r",0.0006467492,"MAI"
"10369","slr0417","Light-0300",0.0934,12532501.5891534,12800936.1558763,0.1094886162,0.1072968722,0.0007596198,0.9068951334,"Cytoplasmic","DNA replication, restriction, modification, recombination, and repair","DNA replication, restriction, modification, recombination, and repair","DNA gyrase subunit A","DNA gyrase subunit A (EC 5.99.1.3)",860,95.09,6,"DNArep","DNA replication, r",0.0006689032,"MAI"
"10370","slr0417","Light-1000",0.0961,13800538.1844686,14115122.7795237,0.3011437935,0.2951154947,0.0008675896,1,"Cytoplasmic","DNA replication, restriction, modification, recombination, and repair","DNA replication, restriction, modification, recombination, and repair","DNA gyrase subunit A","DNA gyrase subunit A (EC 5.99.1.3)",860,95.09,6,"DNArep","DNA replication, r",0.000776873,"MAI"
"10381","slr0426","CO2-0-15",0.0183,7606183.2114359,7567289.22373823,0.1684210255,0.1650495721,0.0003631371,3.1619687042,"Cytoplasmic","Biosynthesis of cofactors, prosthetic groups, and carriers","Folic acid","GTP cyclohydrolase I","GTP cyclohydrolase 1 (EC 3.5.4.16) (GTP cyclohydrolase I) (GTP-CH-I)",234,26.65,2,"Cofactors","Folic acid",0.0004412526,"MAI"
"10382","slr0426","CO2-0-2",0.0279,7161711.35710437,7254616.11646448,0.1354539357,0.1327424178,0.0003336488,3.0313192007,"Cytoplasmic","Biosynthesis of cofactors, prosthetic groups, and carriers","Folic acid","GTP cyclohydrolase I","GTP cyclohydrolase 1 (EC 3.5.4.16) (GTP cyclohydrolase I) (GTP-CH-I)",234,26.65,2,"Cofactors","Folic acid",0.0004117643,"MAI"
"10383","slr0426","CO2-0-3",0.0452,7406136.21871783,7548372.28159371,0.0653020806,0.063994863,0.0003388554,3.1540643176,"Cytoplasmic","Biosynthesis of cofactors, prosthetic groups, and carriers","Folic acid","GTP cyclohydrolase I","GTP cyclohydrolase 1 (EC 3.5.4.16) (GTP cyclohydrolase I) (GTP-CH-I)",234,26.65,2,"Cofactors","Folic acid",0.0004169709,"MAI"
"10384","slr0426","CO2-0-5",0.0756,6723033.60868477,7179865.28763142,0.2039073001,0.1998254822,0.0002753669,3.000084795,"Cytoplasmic","Biosynthesis of cofactors, prosthetic groups, and carriers","Folic acid","GTP cyclohydrolase I","GTP cyclohydrolase 1 (EC 3.5.4.16) (GTP cyclohydrolase I) (GTP-CH-I)",234,26.65,2,"Cofactors","Folic acid",0.0003534825,"MAI"
"10385","slr0426","CO2-1-0",0.1003,2459032.72973285,2393220.78481431,0.1548740311,0.1517737615,9.05212e-05,1,"Cytoplasmic","Biosynthesis of cofactors, prosthetic groups, and carriers","Folic acid","GTP cyclohydrolase I","GTP cyclohydrolase 1 (EC 3.5.4.16) (GTP cyclohydrolase I) (GTP-CH-I)",234,26.65,2,"Cofactors","Folic acid",0.0001686368,"MAI"
"10386","slr0426","Light-0060",0.0331,6903902.96985425,5889867.7492535,0.3615063277,0.3542696912,0.0004762107,2.6256297203,"Cytoplasmic","Biosynthesis of cofactors, prosthetic groups, and carriers","Folic acid","GTP cyclohydrolase I","GTP cyclohydrolase 1 (EC 3.5.4.16) (GTP cyclohydrolase I) (GTP-CH-I)",234,26.65,2,"Cofactors","Folic acid",0.0003980951,"MAI"
"10387","slr0426","Light-0100",0.0485,4621180.8404565,5060483.4001575,0.3503211631,0.3433084313,0.0003170037,2.2559005024,"Cytoplasmic","Biosynthesis of cofactors, prosthetic groups, and carriers","Folic acid","GTP cyclohydrolase I","GTP cyclohydrolase 1 (EC 3.5.4.16) (GTP cyclohydrolase I) (GTP-CH-I)",234,26.65,2,"Cofactors","Folic acid",0.0002388881,"MAI"
"10388","slr0426","Light-0200",0.0639,3288035.079735,3051255.4029975,0.5353706282,0.5246535748,0.000222881,1.3602116739,"Cytoplasmic","Biosynthesis of cofactors, prosthetic groups, and carriers","Folic acid","GTP cyclohydrolase I","GTP cyclohydrolase 1 (EC 3.5.4.16) (GTP cyclohydrolase I) (GTP-CH-I)",234,26.65,2,"Cofactors","Folic acid",0.0001447654,"MAI"
"10389","slr0426","Light-0300",0.0934,4132663.46484075,3104159.0192525,0.6848269529,0.6711180817,0.0002504889,1.3837954474,"Cytoplasmic","Biosynthesis of cofactors, prosthetic groups, and carriers","Folic acid","GTP cyclohydrolase I","GTP cyclohydrolase 1 (EC 3.5.4.16) (GTP cyclohydrolase I) (GTP-CH-I)",234,26.65,2,"Cofactors","Folic acid",0.0001723734,"MAI"
"10390","slr0426","Light-1000",0.0961,2102740.988623,2243221.008583,0.1396861418,0.1368899035,0.0001321917,1,"Cytoplasmic","Biosynthesis of cofactors, prosthetic groups, and carriers","Folic acid","GTP cyclohydrolase I","GTP cyclohydrolase 1 (EC 3.5.4.16) (GTP cyclohydrolase I) (GTP-CH-I)",234,26.65,2,"Cofactors","Folic acid",5.40761e-05,"MAI"
"10391","slr0427","CO2-0-15",0.0183,3310187.02439879,3314405.31846375,0.0918300752,0.08999182,0.0001580361,1.3280200221,"Cytoplasmic","Cellular processes","Transformation","putative competence-damage protein","CinA-like protein",416,44.72,4,"CellProc","Transformation",0.0002431546,"MAI"
"10392","slr0427","CO2-0-2",0.0279,3250183.48813733,3279152.29546117,0.0542214733,0.0531360674,0.0001514191,1.3138947973,"Cytoplasmic","Cellular processes","Transformation","putative competence-damage protein","CinA-like protein",416,44.72,4,"CellProc","Transformation",0.0002365376,"MAI"
"10393","slr0427","CO2-0-3",0.0452,2856008.15478057,3037043.04765162,0.1378851085,0.1351249233,0.0001306719,1.2168861644,"Cytoplasmic","Cellular processes","Transformation","putative competence-damage protein","CinA-like protein",416,44.72,4,"CellProc","Transformation",0.0002157904,"MAI"
"10394","slr0427","CO2-0-5",0.0756,2495589.07125852,2436906.42755319,0.0483444813,0.0473767211,0.0001022162,0.9764226813,"Cytoplasmic","Cellular processes","Transformation","putative competence-damage protein","CinA-like protein",416,44.72,4,"CellProc","Transformation",0.0001873347,"MAI"
"10395","slr0427","CO2-1-0",0.1003,2665982.80908437,2495749.50924766,0.1532648043,0.1501967483,9.81394e-05,1,"Cytoplasmic","Cellular processes","Transformation","putative competence-damage protein","CinA-like protein",416,44.72,4,"CellProc","Transformation",0.0001832579,"MAI"
"10396","slr0427","Light-0060",0.0331,3000085.84086358,2109852.35013306,0.6572403733,0.6440837304,0.000206937,0.4508703515,"Cytoplasmic","Cellular processes","Transformation","putative competence-damage protein","CinA-like protein",416,44.72,4,"CellProc","Transformation",0.0001218185,"MAI"
"10397","slr0427","Light-0100",0.0485,2295318.00240542,1907747.74802547,0.5172718166,0.5069170654,0.0001574542,0.4076810861,"Cytoplasmic","Cellular processes","Transformation","putative competence-damage protein","CinA-like protein",416,44.72,4,"CellProc","Transformation",7.23357e-05,"MAI"
"10398","slr0427","Light-0200",0.0639,3240541.12060196,3342581.14085484,0.1216152391,0.1191807443,0.0002196616,0.7143015167,"Cytoplasmic","Cellular processes","Transformation","putative competence-damage protein","CinA-like protein",416,44.72,4,"CellProc","Transformation",0.000134543,"MAI"
"10399","slr0427","Light-0300",0.0934,4387219.50451067,4193373.58501067,0.1438215238,0.1409425034,0.0002659181,0.8961138072,"Cytoplasmic","Cellular processes","Transformation","putative competence-damage protein","CinA-like protein",416,44.72,4,"CellProc","Transformation",0.0001807995,"MAI"
"10400","slr0427","Light-1000",0.0961,4741135.8262887,4679510.07057199,0.0632452893,0.0619792446,0.000298058,1,"Cytoplasmic","Cellular processes","Transformation","putative competence-damage protein","CinA-like protein",416,44.72,4,"CellProc","Transformation",0.0002129394,"MAI"
"10491","slr0444","CO2-0-15",0.0183,4914061.12683156,5069731.59567403,0.1270018262,0.1244595027,0.0002346088,0.5750165504,"Cytoplasmic","Amino acid biosynthesis","Aromatic amino acid family","3-phosphoshikimate 1-carboxyvinyltransferase","3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)",416,43.71,1,"AminoAcids","Aromatic amino aci",0.0002292155,"CBM"
"10492","slr0444","CO2-0-2",0.0279,5624127.8544223,6068563.65749678,0.1723322108,0.1688824633,0.000262016,0.6883055788,"Cytoplasmic","Amino acid biosynthesis","Aromatic amino acid family","3-phosphoshikimate 1-carboxyvinyltransferase","3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)",416,43.71,1,"AminoAcids","Aromatic amino aci",0.0002566227,"CBM"
"10493","slr0444","CO2-0-3",0.0452,5601606.44508847,5648531.04463569,0.1041401006,0.1020554233,0.0002562921,0.6406648507,"Cytoplasmic","Amino acid biosynthesis","Aromatic amino acid family","3-phosphoshikimate 1-carboxyvinyltransferase","3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)",416,43.71,1,"AminoAcids","Aromatic amino aci",0.0002508988,"CBM"
"10494","slr0444","CO2-0-5",0.0756,5796529.3421505,5676638.8341516,0.2299814905,0.2253777192,0.0002374185,0.6438528783,"Cytoplasmic","Amino acid biosynthesis","Aromatic amino acid family","3-phosphoshikimate 1-carboxyvinyltransferase","3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)",416,43.71,1,"AminoAcids","Aromatic amino aci",0.0002320252,"CBM"
"10495","slr0444","CO2-1-0",0.1003,8681007.57352986,8816670.74161069,0.0625261651,0.0612745158,0.0003195628,1,"Cytoplasmic","Amino acid biosynthesis","Aromatic amino acid family","3-phosphoshikimate 1-carboxyvinyltransferase","3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)",416,43.71,1,"AminoAcids","Aromatic amino aci",0.0003141695,"CBM"
"10496","slr0444","Light-0060",0.0331,2937162.86781837,2550415.16916801,0.3507084824,0.3436879973,0.0002025968,0.3685870096,"Cytoplasmic","Amino acid biosynthesis","Aromatic amino acid family","3-phosphoshikimate 1-carboxyvinyltransferase","3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)",416,43.71,1,"AminoAcids","Aromatic amino aci",0.0002079901,"CBM"
"10497","slr0444","Light-0100",0.0485,2247765.52541777,2347418.93122861,0.3106151313,0.3043972352,0.0001541922,0.3392499129,"Cytoplasmic","Amino acid biosynthesis","Aromatic amino acid family","3-phosphoshikimate 1-carboxyvinyltransferase","3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)",416,43.71,1,"AminoAcids","Aromatic amino aci",0.0001595855,"CBM"
"10498","slr0444","Light-0200",0.0639,4709953.31835015,4527888.90727976,0.1900567972,0.1862522388,0.0003192663,0.6543722968,"Cytoplasmic","Amino acid biosynthesis","Aromatic amino acid family","3-phosphoshikimate 1-carboxyvinyltransferase","3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)",416,43.71,1,"AminoAcids","Aromatic amino aci",0.0003246597,"CBM"
"10499","slr0444","Light-0300",0.0934,5142740.67084703,4729482.52742506,0.3824254423,0.3747700468,0.0003117117,0.6835066866,"Cytoplasmic","Amino acid biosynthesis","Aromatic amino acid family","3-phosphoshikimate 1-carboxyvinyltransferase","3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)",416,43.71,1,"AminoAcids","Aromatic amino aci",0.000317105,"CBM"
"10500","slr0444","Light-1000",0.0961,7422360.097065,6919438.56648871,0.3309568159,0.3243317198,0.0004666168,1,"Cytoplasmic","Amino acid biosynthesis","Aromatic amino acid family","3-phosphoshikimate 1-carboxyvinyltransferase","3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)",416,43.71,1,"AminoAcids","Aromatic amino aci",0.0004720101,"CBM"
"10501","slr0446","CO2-0-15",0.0183,498137.12289375,500798.943177,0.0965543859,0.0946215595,2.37822e-05,0.6521465581,"CytoplasmicMembrane","DNA replication, restriction, modification, recombination, and repair","DNA replication, restriction, modification, recombination, and repair","DNA polymerase III delta&#x27; subunit",NA,319,35.97,6,"DNArep","DNA replication, r",0.0001459912,"MAI"
"10502","slr0446","CO2-0-2",0.0279,370663.291972,401466.989242,0.2215233377,0.2170888818,1.72684e-05,0.522795263,"CytoplasmicMembrane","DNA replication, restriction, modification, recombination, and repair","DNA replication, restriction, modification, recombination, and repair","DNA polymerase III delta&#x27; subunit",NA,319,35.97,6,"DNArep","DNA replication, r",0.0001394774,"MAI"
"10503","slr0446","CO2-0-3",0.0452,451194.3546895,430301.0735685,0.3102733213,0.3040622676,2.06436e-05,0.5603433631,"CytoplasmicMembrane","DNA replication, restriction, modification, recombination, and repair","DNA replication, restriction, modification, recombination, and repair","DNA polymerase III delta&#x27; subunit",NA,319,35.97,6,"DNArep","DNA replication, r",0.0001428526,"MAI"
"10504","slr0446","CO2-0-5",0.0756,381640.66981025,356608.82801,0.4588771907,0.4496913835,1.56315e-05,0.4643804124,"CytoplasmicMembrane","DNA replication, restriction, modification, recombination, and repair","DNA replication, restriction, modification, recombination, and repair","DNA polymerase III delta&#x27; subunit",NA,319,35.97,6,"DNArep","DNA replication, r",0.0001378405,"MAI"
"10505","slr0446","CO2-1-0",0.1003,719563.805337,767923.922911,0.2139957267,0.2097119586,2.64884e-05,1,"CytoplasmicMembrane","DNA replication, restriction, modification, recombination, and repair","DNA replication, restriction, modification, recombination, and repair","DNA polymerase III delta&#x27; subunit",NA,319,35.97,6,"DNArep","DNA replication, r",0.0001486973,"MAI"
"10506","slr0446","Light-0060",0.0331,4330361.38907525,3745264.444989,0.4152839696,0.4069708119,0.0002986955,0.6714508451,"CytoplasmicMembrane","DNA replication, restriction, modification, recombination, and repair","DNA replication, restriction, modification, recombination, and repair","DNA polymerase III delta&#x27; subunit",NA,319,35.97,6,"DNArep","DNA replication, r",0.0001764865,"MAI"
"10507","slr0446","Light-0100",0.0485,4198245.18617275,2989842.007067,0.8558362333,0.838704097,0.0002879912,0.5360187436,"CytoplasmicMembrane","DNA replication, restriction, modification, recombination, and repair","DNA replication, restriction, modification, recombination, and repair","DNA polymerase III delta&#x27; subunit",NA,319,35.97,6,"DNArep","DNA replication, r",0.0001657822,"MAI"
"10508","slr0446","Light-0200",0.0639,3979454.97323,4014838.6305,0.1320713357,0.1294275307,0.0002697492,0.7197800932,"CytoplasmicMembrane","DNA replication, restriction, modification, recombination, and repair","DNA replication, restriction, modification, recombination, and repair","DNA polymerase III delta&#x27; subunit",NA,319,35.97,6,"DNArep","DNA replication, r",0.0001475402,"MAI"
"10509","slr0446","Light-0300",0.0934,4391454.13506475,4510646.400939,0.3555731944,0.3484553274,0.0002661747,0.8086684885,"CytoplasmicMembrane","DNA replication, restriction, modification, recombination, and repair","DNA replication, restriction, modification, recombination, and repair","DNA polymerase III delta&#x27; subunit",NA,319,35.97,6,"DNArep","DNA replication, r",0.0001439658,"MAI"
"10510","slr0446","Light-1000",0.0961,5755579.605871,5577868.3912075,0.6267002377,0.6141549475,0.0003618324,1,"CytoplasmicMembrane","DNA replication, restriction, modification, recombination, and repair","DNA replication, restriction, modification, recombination, and repair","DNA polymerase III delta&#x27; subunit",NA,319,35.97,6,"DNArep","DNA replication, r",0.0002396234,"MAI"
"10521","slr0451","CO2-0-15",0.0183,2557047.06012769,2523952.02630012,0.4201182774,0.4117083465,0.0001220794,1.068962026,"Cytoplasmic","DNA replication, restriction, modification, recombination, and repair","DNA replication, restriction, modification, recombination, and repair","putative helicase",NA,1006,113.41,6,"DNArep","DNA replication, r",0.0011089113,"MAI"
"10522","slr0451","CO2-0-2",0.0279,2659053.03922762,2147267.51679615,0.4691788599,0.4597868339,0.0001238796,0.9094259364,"Cytoplasmic","DNA replication, restriction, modification, recombination, and repair","DNA replication, restriction, modification, recombination, and repair","putative helicase",NA,1006,113.41,6,"DNArep","DNA replication, r",0.0011107114,"MAI"
"10523","slr0451","CO2-0-3",0.0452,1621841.80883312,1673562.76970275,0.1532022349,0.1501354314,7.42047e-05,0.7087991492,"Cytoplasmic","DNA replication, restriction, modification, recombination, and repair","DNA replication, restriction, modification, recombination, and repair","putative helicase",NA,1006,113.41,6,"DNArep","DNA replication, r",0.0010610365,"MAI"
"10524","slr0451","CO2-0-5",0.0756,2218667.29741015,2298952.58420687,0.1635636872,0.160289468,9.08738e-05,0.9736686698,"Cytoplasmic","DNA replication, restriction, modification, recombination, and repair","DNA replication, restriction, modification, recombination, and repair","putative helicase",NA,1006,113.41,6,"DNArep","DNA replication, r",0.0010777056,"MAI"
"10525","slr0451","CO2-1-0",0.1003,2552458.55485179,2361124.12319545,0.3452867606,0.3383748076,9.39604e-05,1,"Cytoplasmic","DNA replication, restriction, modification, recombination, and repair","DNA replication, restriction, modification, recombination, and repair","putative helicase",NA,1006,113.41,6,"DNArep","DNA replication, r",0.0010807922,"MAI"
"10526","slr0451","Light-0060",0.0331,6450434.3326715,2106242.547125,1.4566752109,1.4275154753,0.0004449318,0.0829034055,"Cytoplasmic","DNA replication, restriction, modification, recombination, and repair","DNA replication, restriction, modification, recombination, and repair","putative helicase",NA,1006,113.41,6,"DNArep","DNA replication, r",-0.0005419001,"MAI"
"10527","slr0451","Light-0100",0.0485,7852593.62003725,3792830.433517,1.2631380334,1.2378525265,0.0005386721,0.149288865,"Cytoplasmic","DNA replication, restriction, modification, recombination, and repair","DNA replication, restriction, modification, recombination, and repair","putative helicase",NA,1006,113.41,6,"DNArep","DNA replication, r",-0.0004481597,"MAI"
"10528","slr0451","Light-0200",0.0639,16974744.37644,12242366.66566,0.869411665,0.8520077756,0.0011506408,0.4818694261,"Cytoplasmic","DNA replication, restriction, modification, recombination, and repair","DNA replication, restriction, modification, recombination, and repair","putative helicase",NA,1006,113.41,6,"DNArep","DNA replication, r",0.000163809,"MAI"
"10529","slr0451","Light-0300",0.0934,33020545.618045,22045072.9098,1.0989168931,1.0769187662,0.0020014407,0.8677118504,"Cytoplasmic","DNA replication, restriction, modification, recombination, and repair","DNA replication, restriction, modification, recombination, and repair","putative helicase",NA,1006,113.41,6,"DNArep","DNA replication, r",0.0010146089,"MAI"
"10530","slr0451","Light-1000",0.0961,31337547.712995,25405983.449655,1.0138242326,0.9935294913,0.0019700776,1,"Cytoplasmic","DNA replication, restriction, modification, recombination, and repair","DNA replication, restriction, modification, recombination, and repair","putative helicase",NA,1006,113.41,6,"DNArep","DNA replication, r",0.0009832458,"MAI"
"10531","slr0452","CO2-0-15",0.0183,12932227.8993902,12694886.4322339,0.1056996707,0.1035837739,0.000617415,0.7072769377,"Cytoplasmic","Amino acid biosynthesis","Branched chain family","dihydroxyacid dehydratase","Dihydroxy-acid dehydratase (DAD) (EC 4.2.1.9)",561,58.66,1,"AminoAcids","Branched chain fam",0.0006963161,"CBM"
"10532","slr0452","CO2-0-2",0.0279,13666607.692911,13886953.9078427,0.0566121683,0.0554789055,0.0006366979,0.7736912249,"Cytoplasmic","Amino acid biosynthesis","Branched chain family","dihydroxyacid dehydratase","Dihydroxy-acid dehydratase (DAD) (EC 4.2.1.9)",561,58.66,1,"AminoAcids","Branched chain fam",0.0007155991,"CBM"
"10533","slr0452","CO2-0-3",0.0452,12423623.1629683,12783311.1388363,0.0684262394,0.0670564824,0.0005684221,0.7122033902,"Cytoplasmic","Amino acid biosynthesis","Branched chain family","dihydroxyacid dehydratase","Dihydroxy-acid dehydratase (DAD) (EC 4.2.1.9)",561,58.66,1,"AminoAcids","Branched chain fam",0.0006473232,"CBM"
"10534","slr0452","CO2-0-5",0.0756,13905925.6647914,13005602.1030231,0.1484132023,0.1454422657,0.0005695691,0.7245880046,"Cytoplasmic","Amino acid biosynthesis","Branched chain family","dihydroxyacid dehydratase","Dihydroxy-acid dehydratase (DAD) (EC 4.2.1.9)",561,58.66,1,"AminoAcids","Branched chain fam",0.0006484702,"CBM"
"10535","slr0452","CO2-1-0",0.1003,18284489.1395299,17948961.3695562,0.0787083614,0.0771327768,0.0006730835,1,"Cytoplasmic","Amino acid biosynthesis","Branched chain family","dihydroxyacid dehydratase","Dihydroxy-acid dehydratase (DAD) (EC 4.2.1.9)",561,58.66,1,"AminoAcids","Branched chain fam",0.0007519847,"CBM"
"10536","slr0452","Light-0060",0.0331,10692709.3088402,9770339.81373806,0.3605494348,0.3533319534,0.0007375513,0.5526982114,"Cytoplasmic","Amino acid biosynthesis","Branched chain family","dihydroxyacid dehydratase","Dihydroxy-acid dehydratase (DAD) (EC 4.2.1.9)",561,58.66,1,"AminoAcids","Branched chain fam",0.0006586502,"CBM"
"10537","slr0452","Light-0100",0.0485,6973264.30290013,7765071.8609101,0.3828190202,0.3751557461,0.0004783519,0.4392622376,"Cytoplasmic","Amino acid biosynthesis","Branched chain family","dihydroxyacid dehydratase","Dihydroxy-acid dehydratase (DAD) (EC 4.2.1.9)",561,58.66,1,"AminoAcids","Branched chain fam",0.0003994507,"CBM"
"10538","slr0452","Light-0200",0.0639,15579092.2330996,14144678.1432091,0.2587315749,0.2535522842,0.0010560359,0.800150093,"Cytoplasmic","Amino acid biosynthesis","Branched chain family","dihydroxyacid dehydratase","Dihydroxy-acid dehydratase (DAD) (EC 4.2.1.9)",561,58.66,1,"AminoAcids","Branched chain fam",0.0009771348,"CBM"
"10539","slr0452","Light-0300",0.0934,13733026.305868,13738523.8721755,0.2139208051,0.2096385368,0.0008323859,0.777174358,"Cytoplasmic","Amino acid biosynthesis","Branched chain family","dihydroxyacid dehydratase","Dihydroxy-acid dehydratase (DAD) (EC 4.2.1.9)",561,58.66,1,"AminoAcids","Branched chain fam",0.0007534848,"CBM"
"10540","slr0452","Light-1000",0.0961,17263015.0732839,17677531.0860901,0.1921285325,0.1882825021,0.001085263,1,"Cytoplasmic","Amino acid biosynthesis","Branched chain family","dihydroxyacid dehydratase","Dihydroxy-acid dehydratase (DAD) (EC 4.2.1.9)",561,58.66,1,"AminoAcids","Branched chain fam",0.0010063618,"CBM"
"10541","slr0453","CO2-0-15",0.0183,7001023.31532268,7446312.63948775,0.1655567979,0.1622426806,0.0003342453,2.5042858052,"Cytoplasmic","Energy metabolism","Pentose phosphate pathway","cbiX sirohydrochlorin cobaltochelatase","Probable phosphoketolase (EC 4.1.2.-)",821,92.46,7,"Energy","Pentose phosphate ",0.0003424067,"GLM"
"10542","slr0453","CO2-0-2",0.0279,7206725.44539564,7190597.86129852,0.0111235664,0.0109008948,0.0003357459,2.4182858049,"Cytoplasmic","Energy metabolism","Pentose phosphate pathway","cbiX sirohydrochlorin cobaltochelatase","Probable phosphoketolase (EC 4.1.2.-)",821,92.46,7,"Energy","Pentose phosphate ",0.0003439072,"GLM"
"10543","slr0453","CO2-0-3",0.0452,6783352.93670823,6680216.6078285,0.0702939808,0.0688868353,0.0003103609,2.2466383614,"Cytoplasmic","Energy metabolism","Pentose phosphate pathway","cbiX sirohydrochlorin cobaltochelatase","Probable phosphoketolase (EC 4.1.2.-)",821,92.46,7,"Energy","Pentose phosphate ",0.0003185223,"GLM"
"10544","slr0453","CO2-0-5",0.0756,4680578.71817417,4605544.80325555,0.1382892489,0.1355209736,0.0001917106,1.548900917,"Cytoplasmic","Energy metabolism","Pentose phosphate pathway","cbiX sirohydrochlorin cobaltochelatase","Probable phosphoketolase (EC 4.1.2.-)",821,92.46,7,"Energy","Pentose phosphate ",0.0001998719,"GLM"
"10545","slr0453","CO2-1-0",0.1003,3138912.93678837,2973427.64315633,0.1731545988,0.1696883887,0.0001155488,1,"Cytoplasmic","Energy metabolism","Pentose phosphate pathway","cbiX sirohydrochlorin cobaltochelatase","Probable phosphoketolase (EC 4.1.2.-)",821,92.46,7,"Energy","Pentose phosphate ",0.0001237101,"GLM"
"10546","slr0453","Light-0060",0.0331,5574970.2782534,5046677.42007763,0.2986501503,0.2926717693,0.0003845449,2.5992267319,"Cytoplasmic","Energy metabolism","Pentose phosphate pathway","cbiX sirohydrochlorin cobaltochelatase","Probable phosphoketolase (EC 4.1.2.-)",821,92.46,7,"Energy","Pentose phosphate ",0.0003763835,"GLM"
"10547","slr0453","Light-0100",0.0485,4002864.27245511,4493616.14532421,0.3720087823,0.3645619076,0.0002745884,2.3143795879,"Cytoplasmic","Energy metabolism","Pentose phosphate pathway","cbiX sirohydrochlorin cobaltochelatase","Probable phosphoketolase (EC 4.1.2.-)",821,92.46,7,"Energy","Pentose phosphate ",0.0002664271,"GLM"
"10548","slr0453","Light-0200",0.0639,2285699.26152274,1857891.67955165,0.4053297705,0.397215876,0.0001549372,0.9568833743,"Cytoplasmic","Energy metabolism","Pentose phosphate pathway","cbiX sirohydrochlorin cobaltochelatase","Probable phosphoketolase (EC 4.1.2.-)",821,92.46,7,"Energy","Pentose phosphate ",0.0001467758,"GLM"
"10549","slr0453","Light-0300",0.0934,2219116.40979586,2293359.87696652,0.2164612211,0.2121280987,0.000134505,1.1811657061,"Cytoplasmic","Energy metabolism","Pentose phosphate pathway","cbiX sirohydrochlorin cobaltochelatase","Probable phosphoketolase (EC 4.1.2.-)",821,92.46,7,"Energy","Pentose phosphate ",0.0001263437,"GLM"
